second,samples,errors,p95_ms,max_threads
0,198,0,136,64
1,1097,0,155,112
2,1493,0,177,166
3,1831,0,161,215
4,1550,0,245,268
5,1584,0,321,322
6,1685,0,269,370
7,1987,0,287,420
8,1742,0,317,468
9,2130,0,343,500
10,1958,0,360,500
11,2261,0,304,500
12,2111,0,313,500
13,2133,0,294,500
14,2129,0,316,500
15,2257,0,319,500
16,1953,0,333,500
17,1702,0,450,500
18,2722,0,253,500
19,2437,0,263,500
20,2221,0,315,500
21,2264,0,275,500
22,2398,0,282,500
23,2281,0,295,500
24,2577,0,257,500
25,2672,0,261,500
26,2605,0,262,500
27,2454,0,291,500
28,2125,0,299,500
29,2381,0,284,500
30,1931,0,447,500
31,2508,0,260,500
32,2538,0,251,500
33,2676,0,242,500
34,2949,0,223,500
35,3150,0,238,500
36,2525,0,326,500
37,2539,0,268,500
38,2336,0,288,500
39,2448,0,299,500
40,2398,0,302,500
41,2634,0,231,500
42,2443,0,386,500
43,2625,0,264,500
44,2959,0,226,500
45,403,0,190,432
