second,samples,errors,p95_ms,max_threads
0,293,0,99,59
1,996,0,16,107
2,1003,0,8,158
3,1002,0,7,208
4,1002,0,5,258
5,1004,0,7,307
6,1020,0,8,357
7,968,0,6,408
8,1017,0,6,458
9,997,0,8,500
10,982,0,8,500
11,1000,0,9,500
12,1000,0,8,500
13,999,0,11,500
14,1001,0,9,500
15,1000,0,11,500
16,1001,0,16,500
17,998,0,8,500
18,1001,0,12,500
19,999,0,14,500
20,1001,0,12,500
21,1001,0,15,500
22,998,0,10,500
23,1000,0,10,500
24,1001,0,8,500
25,1000,0,10,500
26,1002,0,13,500
27,1000,0,8,500
28,998,0,16,500
29,1001,0,8,500
30,1006,0,22,500
31,994,0,11,500
32,999,0,47,500
33,1011,0,30,500
34,992,0,13,500
35,997,0,18,500
36,1006,0,14,500
37,1019,0,37,500
38,990,0,21,500
39,985,0,16,500
40,1001,0,15,500
41,999,0,20,500
42,999,0,16,500
43,1001,0,32,500
44,1002,0,24,500
45,992,0,53,500
46,1009,0,16,500
47,999,0,21,500
48,998,0,22,500
49,1005,0,62,500
50,996,0,18,500
51,1012,0,19,500
52,987,0,19,500
53,1000,0,16,500
54,999,0,24,500
55,1032,0,27,500
56,987,0,92,500
57,981,0,31,500
58,1000,0,24,500
59,989,0,31,500
60,153,0,228,152
